MJD	FLUX_100_300000	ERROR_100_300000
55284.500743	3.795586e-07	1.287989e-07
55285.500743	4.388741e-07	1.087014e-07
55286.500743	7.959670e-07	2.680605e-07
55287.500743	1.505188e-07	1.341543e-10
55288.500743	2.483981e-07	1.052248e-08
55289.500743	1.668664e-07	1.271277e-11
55290.500743	2.775395e-07	1.099370e-07
55291.500743	3.603391e-07	1.323959e-07
55292.500743	2.134432e-07	8.500182e-08
55293.500743	5.084832e-07	8.850444e-08
55294.500743	1.810566e-07	3.788154e-10
55295.500743	5.986042e-07	2.263193e-07
55296.500743	9.199397e-07	1.280091e-07
55297.500743	3.602072e-07	1.020916e-07
55298.500743	1.335724e-07	3.835030e-11
55299.500743	2.780612e-07	4.054255e-08
55300.500743	2.899145e-07	3.893851e-08
55301.500743	1.631519e-07	1.521832e-10
55302.500743	2.619516e-07	3.638093e-08
55303.500743	1.718772e-07	7.706913e-11
55304.500743	1.674464e-07	5.516437e-12
55305.500743	3.666104e-07	1.999362e-08
55306.500743	1.372039e-07	2.867159e-08
55307.500743	2.891306e-07	4.173524e-08
55308.500743	1.661960e-07	1.296899e-10
55309.500743	2.985661e-07	4.727141e-08
55310.500743	1.322793e-07	1.778182e-08
55311.500743	2.785453e-07	1.312999e-07
55312.500743	1.092951e-07	3.183794e-08
55313.500743	4.605559e-07	1.944917e-07
55314.500743	8.292397e-07	9.475535e-08
55315.500743	6.101326e-07	2.135904e-07
55316.500743	1.831585e-07	1.409049e-08
55317.500743	6.739467e-07	1.540639e-07
55318.500743	2.084753e-07	5.026968e-08
55319.500743	9.196183e-07	2.965220e-07
55320.500743	5.303219e-07	2.029218e-07
55321.500743	3.115402e-07	1.103527e-08
55322.500743	2.695103e-07	4.564207e-08
55323.500743	5.149866e-07	8.503723e-08
