JD	Magnitude	Uncertainty	HQuncertainty	Band	Observer Code	Comment Code(s)	Comp Star 1	Comp Star 2	Charts	Comments	Transfomed	Airmass	Validation Flag	Cmag	Kmag	HJD	Star Name	Observer Affiliation	Measurement Method	Grouping Method	ADS Reference	Digitizer	Credit
2458140.682	14.914			V	PYG		4		FIORUCCI TOSTI & SMI	SRO-50	0		Z	14.18			OJ 287	BAA-VSS	STD				
2458140.687	14.531			SR	PYG		4		FIORUCCI TOSTI & SMI	SRO-50	0		Z	13.74			OJ 287	BAA-VSS	STD				
2458141.392923	14.645	0.097		CV	HKEB		ENSEMBLE	000-BBQ-061	15545BEK	OTHER	1	2.102	Z		13.659		OJ 287	AAVSO	STD				
2458141.4623	14.961	0.060		V	MMN		UCAC4 551-045646	UCAC4 551-045647		TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E	0		Z	14.630	14.992		OJ 287	UAI	STD				
2458141.51618	14.901	0.076		V	GCO		ENSAMBLE	000-BBQ-043	7193UE	EXP.TIME= 3X300SEC.-STACK METHOD: AVERAGE-'ACP->LX200GPS/R'-'SBIG ST-7 DUAL CCD CAMERA'	0	1.112	Z		12.845		OJ 287	AAVSO	STD	0			
2458141.562	14.9			Vis.	HUR				251.02	COAST; CCD observation incorrectly loaded as Visual.; CCD			Z				OJ 287	BAA-VSS	STD				BAAVSS
2458141.657	14.885			V	PYG		4		FIORUCCI TOSTI & SMI	COAST	0		Z	14.18			OJ 287	BAA-VSS	STD				
2458141.676	15.251			B	PYG		4		FIORUCCI TOSTI & SMI	SRO-50	0		Z	15.01			OJ 287	BAA-VSS	STD				
2458141.682	14.848			V	PYG		4		FIORUCCI TOSTI & SMI	SRO-50	0		Z	14.18			OJ 287	BAA-VSS	STD				
2458141.687	14.482			SR	PYG		4		FIORUCCI TOSTI & SMI	SRO-50	0		Z	13.74			OJ 287	BAA-VSS	STD				
2458142.656	14.753			V	PYG		4		FIORUCCI TOSTI & SMI	COAST	0		Z	14.18			OJ 287	BAA-VSS	STD				
2458142.656	14.377			R	PYG		4		FIORUCCI TOSTI & SMI	COAST	0		Z	13.74			OJ 287	BAA-VSS	STD				
2458142.670	15.109			B	PYG		4		FIORUCCI TOSTI & SMI	SRO-50	0		Z	15.01			OJ 287	BAA-VSS	STD				
2458142.676	14.725			V	PYG		4		FIORUCCI TOSTI & SMI	SRO-50	0		Z	14.18			OJ 287	BAA-VSS	STD				
2458142.681	14.399			SR	PYG		4		FIORUCCI TOSTI & SMI	SRO-50	0		Z	13.74			OJ 287	BAA-VSS	STD				
2458143.656	15.011			B	PYG		4		FIORUCCI TOSTI & SMI	SRO-50	0		Z	15.01			OJ 287	BAA-VSS	STD				
2458143.662	14.682			V	PYG		4		FIORUCCI TOSTI & SMI	SRO-50	0		Z	14.18			OJ 287	BAA-VSS	STD				
2458143.666	14.290			SR	PYG		4		FIORUCCI TOSTI & SMI	SRO-50	0		Z	13.74			OJ 287	BAA-VSS	STD				
2458143.706	14.290			R	PYG		4		FIORUCCI TOSTI & SMI	COAST	0		Z	13.74			OJ 287	BAA-VSS	STD				
